Label	Type	ID	Database	Comment
ENAH 	Protein	Q8N8S7	Uniprot-TrEMBL	
TRAC 	Protein	P01848	Uniprot-TrEMBL	
PSMB2 	Protein	P49721	Uniprot-TrEMBL	
CD3E 	Protein	P07766	Uniprot-TrEMBL	
TCRA 	Protein	P04437	Uniprot-TrEMBL	
K63polyUb-TRAF6 	Protein	Q9Y4K3	Uniprot-TrEMBL	
Phosphorylated Bcl10
bound to CARMA1 and
RIP2	Complex	R-HSA-202480	Reactome	Bcl10 interacts with the oligomerized CARMA1 and this is mediated by the CARD-CARD domainn interaction.
HLA class II histocompatibility antigen, DP alpha chain precursor 	Protein	P20036	Uniprot-TrEMBL	
p-Y771,Y783,Y1254-PLCG1	Protein	P19174	Uniprot-TrEMBL	
HLA class II histocompatibility antigen, DRB1-1 beta chain 	Protein	P04229	Uniprot-TrEMBL	
p-S552-CARD11 	Protein	Q9BXL7	Uniprot-TrEMBL	
HLA class II histocompatibility antigen, DRB1-7 beta chain 	Protein	P13761	Uniprot-TrEMBL	
CHUK 	Protein	O15111	Uniprot-TrEMBL	
HLA class II histocompatibility antigen, DQ 	Protein	P01920	Uniprot-TrEMBL	
Antigen 	Unknown	R-ALL-173548	Reactome	
p-Y315,Y493-ZAP70 	Protein	P43403	Uniprot-TrEMBL	
NFKB1(1-433) 	Protein	P19838	Uniprot-TrEMBL	
p-S552-CARD11 	Protein	Q9BXL7	Uniprot-TrEMBL	
TRAF6 	Protein	Q9Y4K3	Uniprot-TrEMBL	
HLA class II histocompatibility antigen, DRB1-9 beta chain precursor 	Protein	Q9TQE0	Uniprot-TrEMBL	
ADP	Metabolite	CHEBI:456216	ChEBI	
HLA class II histocompatibility antigen, DR beta 5 chain 	Protein	Q30154	Uniprot-TrEMBL	
p-S177,S181-IKBKB 	Protein	O14920	Uniprot-TrEMBL	
PDPK1 	Protein	O15530	Uniprot-TrEMBL	
p-Y394-LCK 	Protein	P06239	Uniprot-TrEMBL	
UBE2D2,UBE2D1,(CDC34)	Complex	R-HSA-5607669	Reactome	
PI(3,4,5)P3 	Metabolite	CHEBI:16618	ChEBI	
HLA class II histocompatibility antigen, DQ 	Protein	P01906	Uniprot-TrEMBL	
ATP	Metabolite	CHEBI:30616	ChEBI	
PIK3CA 	Protein	P42336	Uniprot-TrEMBL	
PDK1:PIP2,PIP3	Complex	R-HSA-202311	Reactome	
HLA class II histocompatibility antigen, DR beta 5 chain 	Protein	Q30154	Uniprot-TrEMBL	
Antigen-bearing MHC
Class II  : TCR
complex:CD4:Lck	Complex	R-HSA-202157	Reactome	
HLA class II histocompatibility antigen, DRB1-7 beta chain 	Protein	P13761	Uniprot-TrEMBL	
HLA class II histocompatibility antigen, DRB1-12 beta chain 	Protein	Q95IE3	Uniprot-TrEMBL	
LCK 	Protein	P06239	Uniprot-TrEMBL	
p-4Y-PLCG1 	Protein	P19174	Uniprot-TrEMBL	
HLA class II histocompatibility antigen, DP alpha chain precursor 	Protein	P20036	Uniprot-TrEMBL	
PDPK1 	Protein	O15530	Uniprot-TrEMBL	
Pi	Metabolite	CHEBI:43474	ChEBI	
PDPK1 	Protein	O15530	Uniprot-TrEMBL	
HLA class II histocompatibility antigen, DRB1-15 beta chain 	Protein	P01911	Uniprot-TrEMBL	
p-Y113,128,145-LCP2 	Protein	Q13094	Uniprot-TrEMBL	
TRAV19 	Protein	A0A0A6YYK7	Uniprot-TrEMBL	
p-Y317-PAG1 	Protein	Q9NWQ8	Uniprot-TrEMBL	
p-Y113,128,145-LCP2 	Protein	Q13094	Uniprot-TrEMBL	
HLA class II histocompatibility antigen, DRB1-12 beta chain 	Protein	Q95IE3	Uniprot-TrEMBL	
HLA class II histocompatibility antigen, DRB1-15 beta chain 	Protein	P01911	Uniprot-TrEMBL	
p-Y63,Y79,Y110-TRAT1 	Protein	Q6PIZ9	Uniprot-TrEMBL	
CD45,CD148	Complex	R-HSA-6785270	Reactome	
PIP3, PI(3,4)P2	Complex	R-ALL-202277	Reactome	
p-Y113,128,145-LCP2 	Protein	Q13094	Uniprot-TrEMBL	
HLA class II histocompatibility antigen, DR beta 4 chain 	Protein	P13762	Uniprot-TrEMBL	
PI(4,5)P2	Metabolite	CHEBI:18348	ChEBI	
PSMB5 	Protein	P28074	Uniprot-TrEMBL	
CARMA1 bound to PDK1	Complex	R-HSA-202349	Reactome	
PI(3,4,5)P3	Metabolite	CHEBI:16618	ChEBI	
HLA class II histocompatibility antigen, DQ 	Protein	P01920	Uniprot-TrEMBL	
PDPK1 	Protein	O15530	Uniprot-TrEMBL	
HLA class II histocompatibility antigen, DRB1-7 beta chain 	Protein	P13761	Uniprot-TrEMBL	
ITK:p-Y113,128,145-SLP-76:GADS:LAT	Complex	R-HSA-202359	Reactome	
TRAC 	Protein	P01848	Uniprot-TrEMBL	
HLA class II histocompatibility antigen, DRB1-10 beta chain 	Protein	Q30167	Uniprot-TrEMBL	
UBE2D2 	Protein	P62837	Uniprot-TrEMBL	
p-BCL10 	Protein	O95999	Uniprot-TrEMBL	
p-Y113,128,145-LCP2 	Protein	Q13094	Uniprot-TrEMBL	
PIP3 activates AKT
signaling	Pathway	R-HSA-1257604	Reactome	Signaling by AKT is one of the key outcomes of receptor tyrosine kinase (RTK) activation. AKT is activated by the cellular second messenger PIP3, a phospholipid that is generated by PI3K. In ustimulated cells, PI3K class IA enzymes reside in the cytosol as inactive heterodimers composed of p85 regulatory subunit and p110 catalytic subunit. In this complex, p85 stabilizes p110 while inhibiting its catalytic activity. Upon binding of extracellular ligands to RTKs, receptors dimerize and undergo autophosphorylation. The regulatory subunit of PI3K, p85, is recruited to phosphorylated cytosolic RTK domains either directly or indirectly, through adaptor proteins, leading to a conformational change in the PI3K IA heterodimer that relieves inhibition of the p110 catalytic subunit. Activated PI3K IA phosphorylates PIP2, converting it to PIP3; this reaction is negatively regulated by PTEN phosphatase. PIP3 recruits AKT to the plasma membrane, allowing TORC2 to phosphorylate a conserved serine residue of AKT. Phosphorylation of this serine induces a conformation change in AKT, exposing a conserved threonine residue that is then phosphorylated by PDPK1 (PDK1). Phosphorylation of both the threonine and the serine residue is required to fully activate AKT. The active AKT then dissociates from PIP3 and phosphorylates a number of cytosolic and nuclear proteins that play important roles in cell survival and metabolism. For a recent review of AKT signaling, please refer to Manning and Cantley, 2007. 
HLA class II histocompatibility antigen, DRB1-11 beta chain 	Protein	P20039	Uniprot-TrEMBL	
RELA 	Protein	Q04206	Uniprot-TrEMBL	
PI(3,4)P2	Metabolite	CHEBI:16152	ChEBI	
TCRA 	Protein	P04437	Uniprot-TrEMBL	
HLA class II histocompatibility antigen, DRB1-10 beta chain 	Protein	Q30167	Uniprot-TrEMBL	
HLA class II histocompatibility antigen, DRB1-16 beta chain 	Protein	Q29974	Uniprot-TrEMBL	
T-cell receptor alpha chain V region PY14 precursor 	Protein	P01737	Uniprot-TrEMBL	
HLA class II histocompatibility antigen, DRB1-10 beta chain 	Protein	Q30167	Uniprot-TrEMBL	
HLA class II histocompatibility antigen, DP alpha chain precursor 	Protein	P20036	Uniprot-TrEMBL	
HLA class II histocompatibility antigen, DR beta 4 chain 	Protein	P13762	Uniprot-TrEMBL	
TRBV12-3 	Protein	P01733	Uniprot-TrEMBL	
TRAC 	Protein	P01848	Uniprot-TrEMBL	
phosphorylated
PLC-gamma1 bound to
SLP-76	Complex	R-HSA-202302	Reactome	
PI(3,4)P2 	Metabolite	CHEBI:16152	ChEBI	
Ub-48-RPS27A(1-76) 	Protein	P62979	Uniprot-TrEMBL	
p-S32,S36-NFKBIA 	Protein	P25963	Uniprot-TrEMBL	
K48PolyUb-K21,22-p-S32,S36-IkBA 	Protein	P25963	Uniprot-TrEMBL	
HLA class II histocompatibility antigen, DRB1-4 beta chain 	Protein	P13760	Uniprot-TrEMBL	
HLA class II histocompatibility antigen, DRB1-15 beta chain 	Protein	P01911	Uniprot-TrEMBL	
UBE2V1 	Protein	Q13404	Uniprot-TrEMBL	
HLA class II histocompatibility antigen, DR-1 beta chain precursor 	Protein	P01912	Uniprot-TrEMBL	
CD3E 	Protein	P07766	Uniprot-TrEMBL	
HLA class II histocompatibility antigen, DP alpha chain precursor 	Protein	P20036	Uniprot-TrEMBL	
PI(3,4,5)P3 	Metabolite	CHEBI:16618	ChEBI	
ZAP-70 bound to
phosphorylated ITAM
motifs	Complex	R-HSA-202330	Reactome	
PLC-gamma1 bound to
