Pathway	Homology Score	Total genes	Mapped genes	Multi-mapped genes	No homology mapping genes	No mapping genes	No xref genes	mapped genes	multi-mapped genes	no homology mapping genes	no mapping genes	no xref genes
FOXA2 pathway (WP5066)	100.0	23	23	0	0	0	0	[a4688 : Irs2 : En:ENSRNOG00000023509, a6507 : Apob : En:ENSRNOG00000005542, a809b : Foxa2 : En:ENSRNOG00000013133, ab370 : Ppargc1b : En:ENSRNOG00000017503, ada54 : Fasn : En:ENSRNOG00000045636, afba4 : GSTA1 : En:ENSRNOG00000024755, afc0c : Acaca : En:ENSRNOG00000034013, b22e0 : Irs1 : En:ENSRNOG00000014597, b45fc : Abcc4 : En:ENSRNOG00000010064, b4ce9 : Abcc3 : En:ENSRNOG00000002948, b7e83 : Abcc2 : En:ENSRNOG00000046727, c5c85 : AABR07035839.1 : En:ENSRNOG00000046171, cb143 : Slc27a5 : En:ENSRNOG00000019626, d08a5 : Slco1b2 : En:ENSRNOG00000030538, d7dc6 : Srebf1 : En:ENSRNOG00000003463, d94fb : Foxo1 : En:ENSRNOG00000013397, e6298 : GSTA2 : En:ENSRNOG00000024755, f01e6 : Ins2 : En:ENSRNOG00000020405, f73b3 : Foxa1 : En:ENSRNOG00000009284, fc7cf : Gstm2 : En:ENSRNOG00000018937, fcda0 : Mttp : En:ENSRNOG00000010655, ce4ba : Foxa2 : En:ENSRNOG00000013133, f7346 : Ins2 : En:ENSRNOG00000020405]	[]	[]	[]	[]
FOXP3 in COVID-19 (WP5063)	93.0	31	29	0	0	1	1	[b9eee : Cd86 : En:ENSRNOG00000038835, c88f4 : Il6st : En:ENSRNOG00000013963, e9a97 : Il6r : En:ENSRNOG00000020811, ec7ef : Cd28 : En:ENSRNOG00000010283, f8f22 : Cd80 : En:ENSRNOG00000001527, bc300 : Il2rb : En:ENSRNOG00000048636, f6c0b : Foxp3 : En:ENSRNOG00000011702, dbe46 : Il2ra : En:ENSRNOG00000047647, c6ad9 : Foxp3 : En:ENSRNOG00000011702, d8de6 : Il6 : En:ENSRNOG00000010278, bd0f4 : Stat3 : En:ENSRNOG00000019742, d3b3a : Il7r : En:ENSRNOG00000065741, d06a6 : Il2rg : En:ENSRNOG00000003954, a9782 : Il2 : En:ENSRNOG00000017348, fde26 : Stat5a : En:ENSRNOG00000019496, b3743 : Stat5b : En:ENSRNOG00000019075, d91fa : Il2 : En:ENSRNOG00000017348, c175f : Il7r : En:ENSRNOG00000065741, b90e9 : Il2rb : En:ENSRNOG00000048636, f2e9c : Il2ra : En:ENSRNOG00000047647, dcf7b : Il2rg : En:ENSRNOG00000003954, cfeb2 : Foxp3 : En:ENSRNOG00000011702, b80c0 : Foxp3 : En:ENSRNOG00000011702, a3a45 : Stat3 : En:ENSRNOG00000019742, db807 : Stat5a : En:ENSRNOG00000019496, b23df : Stat5b : En:ENSRNOG00000019075, e7817 : Il6st : En:ENSRNOG00000013963, fab48 : Il6r : En:ENSRNOG00000020811, b47d5 : Il6 : En:ENSRNOG00000010278]	[]	[]	[b9b92 : MHC-II beta : Pf:PF00969]	[beee1 : TCR : :]
7-oxo-C and 7-beta-HC pathways (WP5064)	82.0	58	48	0	5	4	1	[c8d02 : Cyp7a1 : En:ENSRNOG00000009488, ce628 : Npc1 : En:ENSRNOG00000012016, f0dd5 : Hsd11b2 : En:ENSRNOG00000017084, f42e2 : Cyp27a1 : En:ENSRNOG00000017188, d93c2 : Slc27a5 : En:ENSRNOG00000019626, f16e6 : Slc27a2 : En:ENSRNOG00000010128, ede2e : Amacr : En:ENSRNOG00000018662, fce34 : Acox2 : En:ENSRNOG00000007378, ff780 : Dbp : En:ENSRNOG00000021027, f3434 : Dbp : En:ENSRNOG00000021027, cc0ca : Baat : En:ENSRNOG00000007395, b0361 : Acot3 : En:ENSRNOG00000053460, d36d4 : Acot3 : En:ENSRNOG00000053460, a650f : Acot4 : En:ENSRNOG00000046864, a3420 : Acot6 : En:ENSRNOG00000029637, b2f31 : Acot7 : En:ENSRNOG00000010580, ef3e5 : Acot8 : En:ENSRNOG00000015187, b4e8e : Acot9 : En:ENSRNOG00000003782, ea41e : Acot11 : En:ENSRNOG00000007837, ac1e6 : Acot12 : En:ENSRNOG00000061414, ef31c : Acot13 : En:ENSRNOG00000018415, ced7f : Them5 : En:ENSRNOG00000043445, c8de2 : Ephx2 : En:ENSRNOG00000017286, b8193 : Cyp27a1 : En:ENSRNOG00000017188, cd48d : Slc27a5 : En:ENSRNOG00000019626, d3a48 : Slc27a2 : En:ENSRNOG00000010128, ff065 : Amacr : En:ENSRNOG00000018662, e6239 : Acox2 : En:ENSRNOG00000007378, ce14d : Dbp : En:ENSRNOG00000021027, bb16c : Dbp : En:ENSRNOG00000021027, d16c6 : Baat : En:ENSRNOG00000007395, e0b6f : Acot3 : En:ENSRNOG00000053460, f8041 : Acot3 : En:ENSRNOG00000053460, ef2be : Acot4 : En:ENSRNOG00000046864, e4d80 : Acot6 : En:ENSRNOG00000029637, f2d97 : Acot7 : En:ENSRNOG00000010580, ff78a : Acot8 : En:ENSRNOG00000015187, b4b9f : Acot9 : En:ENSRNOG00000003782, e2bec : Acot11 : En:ENSRNOG00000007837, bfaec : Acot12 : En:ENSRNOG00000061414, d31d9 : Acot13 : En:ENSRNOG00000018415, ce523 : Them5 : En:ENSRNOG00000043445, e110d : Hsd11b2 : En:ENSRNOG00000017084, ef5ba : Hsd11b2 : En:ENSRNOG00000017084, a3f32 : Hsd11b2 : En:ENSRNOG00000017084, de27d : Dhcr7 : En:ENSRNOG00000020776, b0a29 : Ebp : En:ENSRNOG00000004903, ea650 : Npc2 : En:ENSRNOG00000012062]	[]	[d8acd : HSD11B1 : H:HSD11B1, b8436 : SCPx (SCP2) : H:SCP2, f9fcc : SCPx (SCP2) : H:SCP2, ef9e7 : HSD11B1 : H:HSD11B1, a399e : HSD11B1 : H:HSD11B1]	[be891 : ACOT : E:3.1.2.2, b0e4a : ACOT7L : S:Q6ZUV0, e51c1 : ACOT : E:3.1.2.2, ffc11 : ACOT7L : S:Q6ZUV0]	[c699f : 5alpha-specific DDA synthase : :]
Fatty acid transporters (WP5061)	85.0	84	72	0	0	12	0	[a56e9 : Acsbg1 : En:ENSRNOG00000011381, ac9f6 : Acsl1 : En:ENSRNOG00000010633, af31c : RGD1565355 : En:ENSRNOG00000005906, b2ce9 : Acsl6 : En:ENSRNOG00000026745, b56b5 : Fabp4 : En:ENSRNOG00000010805, b7197 : Fabp1 : En:ENSRNOG00000006675, b7a11 : AABR07044977.1 : En:ENSRNOG00000048535, b9f7b : Acsl4 : En:ENSRNOG00000019180, ba802 : Acsbg1 : En:ENSRNOG00000011381, bf774 : Fabp3 : En:ENSRNOG00000012879, c3bda : Acsl3 : En:ENSRNOG00000014718, cb2f2 : Slc27a4 : En:ENSRNOG00000014369, cc0ab : Fabp7 : En:ENSRNOG00000000814, d96ea : AABR07036498.1 : En:ENSRNOG00000030813, df8f4 : Fabp9 : En:ENSRNOG00000011082, e4723 : Fabp3 : En:ENSRNOG00000012879, e612f : Fabp2 : En:ENSRNOG00000024947, a4559 : RGD1565355 : En:ENSRNOG00000005906, e547c : RGD1565355 : En:ENSRNOG00000005906, ea80d : RGD1565355 : En:ENSRNOG00000005906, b4321 : RGD1565355 : En:ENSRNOG00000005906, cb4fb : RGD1565355 : En:ENSRNOG00000005906, e0011 : Acsl3 : En:ENSRNOG00000014718, b767f : Acsl5 : En:ENSRNOG00000016265, aa18d : Acsl1 : En:ENSRNOG00000010633, c2954 : Acsl1 : En:ENSRNOG00000010633, a0192 : Slc27a4 : En:ENSRNOG00000014369, f9b83 : Acsl4 : En:ENSRNOG00000019180, f9c53 : Acsl5 : En:ENSRNOG00000016265, f71d9 : Slc27a4 : En:ENSRNOG00000014369, dada0 : RGD1565355 : En:ENSRNOG00000005906, b5bbd : RGD1565355 : En:ENSRNOG00000005906, e91cb : Slc27a4 : En:ENSRNOG00000014369, f6d56 : Acsl6 : En:ENSRNOG00000026745, c4c53 : Acsbg1 : En:ENSRNOG00000011381, f3190 : Acsl3 : En:ENSRNOG00000014718, c9ac7 : Acsbg1 : En:ENSRNOG00000011381, d5e1d : RGD1565355 : En:ENSRNOG00000005906, a2b62 : RGD1565355 : En:ENSRNOG00000005906, d1bc1 : Acsbg2 : En:ENSRNOG00000045947, b40e1 : AABR07044977.1 : En:ENSRNOG00000048535, e3088 : Fabp1 : En:ENSRNOG00000006675, a50e0 : AABR07044977.1 : En:ENSRNOG00000048535, fdeca : AABR07044977.1 : En:ENSRNOG00000048535, e2ed8 : Fabp6 : En:ENSRNOG00000003902, d31ef : Fabp3 : En:ENSRNOG00000012879, daf1a : AABR07036498.1 : En:ENSRNOG00000030813, c431c : AABR07036498.1 : En:ENSRNOG00000030813, ffbf5 : AABR07036498.1 : En:ENSRNOG00000030813, c8499 : AABR07036498.1 : En:ENSRNOG00000030813, c57f6 : AABR07036498.1 : En:ENSRNOG00000030813, a847e : AABR07036498.1 : En:ENSRNOG00000030813, a821e : AABR07036498.1 : En:ENSRNOG00000030813, dda55 : AABR07036498.1 : En:ENSRNOG00000030813, a0128 : AABR07036498.1 : En:ENSRNOG00000030813, b52c4 : Fabp3 : En:ENSRNOG00000012879, b0d67 : AABR07044977.1 : En:ENSRNOG00000048535, db9b7 : AABR07044977.1 : En:ENSRNOG00000048535, e4d86 : Fabp1 : En:ENSRNOG00000006675, edc99 : AABR07044977.1 : En:ENSRNOG00000048535, c8210 : Fabp6 : En:ENSRNOG00000003902, e7481 : Fabp2 : En:ENSRNOG00000024947, e2e7a : AABR07044977.1 : En:ENSRNOG00000048535, de1b4 : Fabp3 : En:ENSRNOG00000012879, c43e8 : Fabp3 : En:ENSRNOG00000012879, a6a4c : Fabp7 : En:ENSRNOG00000000814, ebd89 : Fabp9 : En:ENSRNOG00000011082, e4f2e : AABR07044977.1 : En:ENSRNOG00000048535, aa94f : Fabp3 : En:ENSRNOG00000012879, bb55d : AABR07044977.1 : En:ENSRNOG00000048535, dc1e1 : Fabp3 : En:ENSRNOG00000012879, d01cf : AABR07044977.1 : En:ENSRNOG00000048535]	[]	[]	[aa530 : SLC27A6  : H:HGNC:11000, b2acf : SLC27A2  : H:HGNC:10996, edccd : SLC27A5 : H:HGNC:10999, efa1d : FABP1 : H:HGNC:3555, f96ad : SLC27A3  : H:HGNC:10997, a712d : SLC27A1  : H:HGNC:10995, b1615 : SLC27A1  : H:HGNC:10995, dc96b : SLC27A2  : H:HGNC:10996, a102e : SLC27A3  : H:HGNC:10997, ac6d0 : SLC27A3  : H:HGNC:10997, a6eed : SLC27A3  : H:HGNC:10997, a5e65 : SLC27A3  : H:HGNC:10997]	[]
Nephrogenesis (WP5052)	94.0	19	18	0	0	1	0	[null : Osr1 : En:ENSRNOG00000004210, null : Fgf20 : En:ENSRNOG00000000109, null : Greb1l : En:ENSRNOG00000023492, null : Six2 : En:ENSRNOG00000068029, null : Bmp7 : En:ENSRNOG00000053384, null : Foxd1 : En:ENSRNOG00000043332, null : Tcf21 : En:ENSRNOG00000016700, null : Meis1 : En:ENSRNOG00000004606, null : Aldh1a2 : En:ENSRNOG00000055049, null : Rspo1 : En:ENSRNOG00000009656, null : Fgf8 : En:ENSRNOG00000017524, null : Jag1 : En:ENSRNOG00000007443, null : Pax2 : En:ENSRNOG00000014253, d88f8 : Rspo3 : En:ENSRNOG00000011568, e44e9 : Wnt9b : En:ENSRNOG00000003807, e4683 : Wnt4 : En:ENSRNOG00000013166, fd9b7 : Wnt3a : En:ENSRNOG00000003039, d64ee : Notch2 : En:ENSRNOG00000018835]	[]	[]	[f2c27 : LHX1 : En:ENSG00000274577]	[]
Development of ureteric collection system (WP5053)	95.0	62	59	0	2	1	0	[null : CTNNB1 : En:ENSRNOG00000069184, null : Ilk : En:ENSRNOG00000018993, null : Gata3 : En:ENSRNOG00000019336, null : Etv4 : En:ENSRNOG00000020792, null : Frem2 : En:ENSRNOG00000021670, null : Grip1 : En:ENSRNOG00000004013, null : Vangl2 : En:ENSRNOG00000004889, null : Celsr1 : En:ENSRNOG00000021285, null : Robo1 : En:ENSRNOG00000029614, null : Fat4 : En:ENSRNOG00000028335, null : Lhx1 : En:ENSRNOG00000002812, null : Itgb1 : En:ENSRNOG00000010966, null : Fgfr2 : En:ENSRNOG00000016374, null : Robo2 : En:ENSRNOG00000029598, a38ea : Gpc3 : En:ENSRNOG00000060179, a718e : Foxc1 : En:ENSRNOG00000070919, a77a4 : Hoxd11 : En:ENSRNOG00000069591, a7bcf : Bmp5 : En:ENSRNOG00000010917, a8496 : Ccnd1 : En:ENSRNOG00000020918, ac5fa : Wt1 : En:ENSRNOG00000013074, aec12 : Rara : En:ENSRNOG00000009972, b0c84 : Shh : En:ENSRNOG00000006120, b0ec7 : Ret : En:ENSRNOG00000014751, b5da3 : Bmp4 : En:ENSRNOG00000009694, b72ab : Greb1l : En:ENSRNOG00000023492, b8011 : Rarg : En:ENSRNOG00000012499, ba31f : Pbx1 : En:ENSRNOG00000070119, ba57f : Gdf11 : En:ENSRNOG00000007610, bb495 : Fst : En:ENSRNOG00000011631, bc6e4 : Ctdnep1 : En:ENSRNOG00000017352, bdad2 : Mycs : En:ENSRNOG00000003085, c2092 : Tgfb2 : En:ENSRNOG00000002418, c32f2 : Bmper : En:ENSRNOG00000015357, c5008 : Crim1 : En:ENSRNOG00000004208, ca8c3 : Six1 : En:ENSRNOG00000022777, cb7ca : Itga8 : En:ENSRNOG00000016538, cf735 : Sall1 : En:ENSRNOG00000013907, cfa0d : Fras1 : En:ENSRNOG00000002053, dbdb3 : Hnf1b : En:ENSRNOG00000002598, dda7c : Spry1 : En:ENSRNOG00000025371, ddf68 : Bmpr1a : En:ENSRNOG00000052469, e02bc : Smad1 : En:ENSRNOG00000018483, e2c10 : Bmp7 : En:ENSRNOG00000053384, e3325 : Eya1 : En:ENSRNOG00000007590, e5571 : Rarb : En:ENSRNOG00000024061, e79e4 : Hoxa11 : En:ENSRNOG00000059870, e8411 : Slit2 : En:ENSRNOG00000003840, eaf6e : Wnt11 : En:ENSRNOG00000015982, eb4a2 : AABR07007068.1 : En:ENSRNOG00000017438, f0fd7 : Pax2 : En:ENSRNOG00000014253, f69bc : Gdnf : En:ENSRNOG00000012819, f7577 : Bmp2 : En:ENSRNOG00000071010, f8c2d : Gli1 : En:ENSRNOG00000025120, faf20 : Smo : En:ENSRNOG00000008332, fd4bd : Bmpr2 : En:ENSRNOG00000022196, fe2be : Gli3 : En:ENSRNOG00000014395, null : Fras1 : En:ENSRNOG00000002053, e6ffa : Frem1 : En:ENSRNOG00000022309, bfd18 : Six2 : En:ENSRNOG00000068029]	[]	[c7db5 : ANOS1 : En:ENSG00000011201, ac9c1 : GLI2 : En:ENSG00000074047]	[dded6 : GREM1 : En:ENSG00000276886]	[]
Steroid biosynthesis (WP496)	94.0	37	35	0	0	2	0	[a47 : Hsd17b4 : En:ENSRNOG00000015840, a4d : Hsd3b1 : En:ENSRNOG00000070622, a55 : Cpn1 : En:ENSRNOG00000013439, a5f : Hsd17b2 : En:ENSRNOG00000013982, a9d : Hsd3b1 : En:ENSRNOG00000070622, ab1 : Hsd3b1 : En:ENSRNOG00000070622, b64 : Hsd3b1 : En:ENSRNOG00000070622, b6a : Hsd3b1 : En:ENSRNOG00000070622, b9d : F13b : En:ENSRNOG00000012613, bce : Hsd3b1 : En:ENSRNOG00000070622, c11 : Hsd3b1 : En:ENSRNOG00000070622, c4f : Hsd3b1 : En:ENSRNOG00000070622, c68 : Cyp17a1 : En:ENSRNOG00000020035, c90 : Hsd3b1 : En:ENSRNOG00000070622, ceb : Hsd3b1 : En:ENSRNOG00000070622, d04 : Cyp17a1 : En:ENSRNOG00000020035, d0d : Hsd3b1 : En:ENSRNOG00000070622, d18 : Hsd3b1 : En:ENSRNOG00000070622, d1c : Hsd3b1 : En:ENSRNOG00000070622, d38 : Hsd3b1 : En:ENSRNOG00000070622, d3c : Hsd17b1 : En:ENSRNOG00000019830, d86 : Hsd3b1 : En:ENSRNOG00000070622, dad : Hsd3b1 : En:ENSRNOG00000070622, dc0 : Hsd17b3 : En:ENSRNOG00000019096, dcb : Hsd3b1 : En:ENSRNOG00000070622, e0d : Hsd3b1 : En:ENSRNOG00000070622, e35 : Hsd3b1 : En:ENSRNOG00000070622, e4d : Hsd3b1 : En:ENSRNOG00000070622, e69 : Hsd17b7 : En:ENSRNOG00000002826, ef5 : Hsd3b1 : En:ENSRNOG00000070622, f07 : Hsd3b1 : En:ENSRNOG00000070622, f52 : Hsd3b1 : En:ENSRNOG00000070622, fb1 : Hsd3b1 : En:ENSRNOG00000070622, fb9 : Hsd3b1 : En:ENSRNOG00000070622, abc1b : Cpn1 : En:ENSRNOG00000013439]	[]	[]	[b50 : Hydroxyprogesterone aldolase : E:4.1.2.30, f69 : Hydroxyprogesterone aldolase : E:4.1.2.30]	[]
TCA cycle in senescence (WP5050)	90.0	11	10	0	0	0	1	[a057c : Fh : En:ENSRNOG00000003653, add2d : Braf : En:ENSRNOG00000010957, af18c : Tp53 : En:ENSRNOG00000010756, b5ee3 : Mdh1 : En:ENSRNOG00000008103, d05a7 : Pdha1l1 : En:ENSRNOG00000014745, d8281 : Me2 : En:ENSRNOG00000015582, dab63 : Got1 : En:ENSRNOG00000016356, db38c : Pdp2 : En:ENSRNOG00000012343, dfc95 : Pdk1 : En:ENSRNOG00000001517, fa1a6 : Me1 : En:ENSRNOG00000009715]	[]	[]	[]	[a56a4 : AMPK : :]
Immune response to tuberculosis (WP4197)	89.0	47	42	0	1	0	4	[a2d99 : Irf9 : En:ENSRNOG00000019478, ab622 : Psmb8 : En:ENSRNOG00000000456, aea67 : Oas1i : En:ENSRNOG00000069835, b1b9d : Mx2 : En:ENSRNOG00000001963, bc85a : Irf1 : En:ENSRNOG00000008144, bdfa2 : Socs1 : En:ENSRNOG00000002568, bfa49 : Stat4 : En:ENSRNOG00000014079, bfeee : Pias1 : En:ENSRNOG00000034272, c001a : Stat4 : En:ENSRNOG00000014079, c292f : Ifitm6 : En:ENSRNOG00000036645, c3ca9 : Irf9 : En:ENSRNOG00000019478, c454d : Psmb8 : En:ENSRNOG00000000456, c8726 : Ifngr1 : En:ENSRNOG00000012074, c8cd1 : Irf9 : En:ENSRNOG00000019478, cec9e : Ptpn2 : En:ENSRNOG00000017453, d36c0 : Tap1 : En:ENSRNOG00000000457, d807b : Ifi35 : En:ENSRNOG00000020678, df84d : Ifitm6 : En:ENSRNOG00000036645, e30c3 : Ifi35 : En:ENSRNOG00000020678, e7b35 : Tyk2 : En:ENSRNOG00000032948, eb10a : Jak1 : En:ENSRNOG00000011157, f6a13 : Ifit3 : En:ENSRNOG00000022839, ffea2 : Stat4 : En:ENSRNOG00000014079, dc499 : Stat4 : En:ENSRNOG00000014079, cfcee : Stat4 : En:ENSRNOG00000014079, e44a9 : Stat4 : En:ENSRNOG00000014079, f3711 : Stat2 : En:ENSRNOG00000031081, fbb52 : Stat4 : En:ENSRNOG00000014079, a4f96 : Stat2 : En:ENSRNOG00000031081, e9cd1 : Jak2 : En:ENSRNOG00000059968, e08b5 : Ptpn2 : En:ENSRNOG00000017453, f0122 : Jak1 : En:ENSRNOG00000011157, f61c4 : Jak2 : En:ENSRNOG00000059968, c6917 : Jak1 : En:ENSRNOG00000011157, d05a6 : Stat4 : En:ENSRNOG00000014079, ec48d : Stat2 : En:ENSRNOG00000031081, f9601 : Ptpn2 : En:ENSRNOG00000017453, d0510 : Ifngr2 : En:ENSRNOG00000002032, a1e4e : Ifngr1 : En:ENSRNOG00000012074, bc367 : Ifngr2 : En:ENSRNOG00000002032, e58c2 : Ifnar1 : En:ENSRNOG00000028594, b1123 : Ifnar2 : En:ENSRNOG00000045668]	[]	[d9a96 : IFIT1 : En:ENSG00000185745]	[]	[a87b3 : IFNG : :, bea1c : GIP2 : :, f6872 : GIP3 : :, daf8b : IFNa/IFNb : :]
Kynurenine pathway and links to cell senescence (WP5044)	85.0	28	24	0	0	2	2	[a05b8 : Kmo : En:ENSRNOG00000003709, aa86b : Ifng : En:ENSRNOG00000007468, ac223 : Ido1 : En:ENSRNOG00000031189, b2846 : Eif2ak1 : En:ENSRNOG00000001050, b3d5f : Haao : En:ENSRNOG00000031263, b6727 : Nos1 : En:ENSRNOG00000001130, d0202 : Tp53 : En:ENSRNOG00000010756, d1915 : Acmsd : En:ENSRNOG00000003884, e4ee2 : Foxo1 : En:ENSRNOG00000013397, e8717 : Tdo2 : En:ENSRNOG00000011612, ee1bf : Kynu : En:ENSRNOG00000029993, f30e4 : AC131483.1 : En:ENSRNOG00000007816, fa89f : Cdkn1a : En:ENSRNOG00000000521, fb7dd : Afmid : En:ENSRNOG00000050205, fe240 : Qprt : En:ENSRNOG00000016980, a5832 : Kynu : En:ENSRNOG00000029993, d4dba : Aadat : En:ENSRNOG00000011861, e35c9 : Ido2 : En:ENSRNOG00000025365, e0c55 : Ifnb1 : En:ENSRNOG00000006268, cabc1 : Tnf : En:ENSRNOG00000070745, d4a38 : Ahr : En:ENSRNOG00000004342, fff3b : Tlr4 : En:ENSRNOG00000010522, d1acf : Il1r2 : En:ENSRNOG00000014378, c37f6 : Eif2ak4 : En:ENSRNOG00000006027]	[]	[]	[a70e2 : miR-210-3p : Mb:MIMAT0000267, e7b79 : miR-493-5p : Mb:MIMAT0002813]	[e1e70 : IDO1 promoter  : :, eac1e : TGFβ : S:]
