Label	Type	ID	Database	Comment
2-(2'-methylthio)ethylmalic-acid	Metabolite	C17210	KEGG Compound	
H2O	Metabolite	CHEBI:15377	ChEBI	
CoA-SH	Metabolite	CHEBI:15346	ChEBI	
L-alpha-amino acid	Metabolite	CHEBI:15705	ChEBI	
L-alpha-amino acid	Metabolite	CHEBI:15705	ChEBI	
Ac-CoA	Metabolite	CHEBI:15351	ChEBI	
2-oxo monocarboxylic
acid	Metabolite	CHEBI:35910	ChEBI	
homomethionine	Metabolite	CHEBI:50707	ChEBI	
3-(2'-methylthio)ethylmalic-acid	Metabolite	C17212	KEGG Compound	
2-oxo monocarboxylic
acid	Metabolite	CHEBI:35910	ChEBI	
CO2	Metabolite	CHEBI:16526	ChEBI	
2-oxo-4-methylthiobutanoate	Metabolite	CHEBI:33574	ChEBI	
2-oxo-5-methylthiopentanoic
acid	Metabolite	C17211	KEGG Compound	
L-Met	Metabolite	CHEBI:16643	ChEBI	
