Label	Type	ID	Database	Comment
RASGRP2 	Protein	Q7LDG7	Uniprot-TrEMBL	
ITPR1 	Protein	Q14643	Uniprot-TrEMBL	
DGKD 	Protein	Q16760	Uniprot-TrEMBL	
PRKCQ 	Protein	Q04759	Uniprot-TrEMBL	
DAG	Metabolite	CHEBI:17815	ChEBI	
Ca2+ 	Metabolite	CHEBI:29108	ChEBI	
MGLL	Protein	Q99685	Uniprot-TrEMBL	
ITPR1 	Protein	Q14643	Uniprot-TrEMBL	
DGKZ 	Protein	Q13574	Uniprot-TrEMBL	
Diacylglycerol
kinase	Complex	R-HSA-426070	Reactome	
3AG	Metabolite	CHEBI:75571	ChEBI	
DAGLB 	Protein	Q8NCG7	Uniprot-TrEMBL	
PRKCH 	Protein	P24723	Uniprot-TrEMBL	
DGKA 	Protein	P23743	Uniprot-TrEMBL	
DGKQ 	Protein	P52824	Uniprot-TrEMBL	
DAG 	Metabolite	CHEBI:17815	ChEBI	
Fatty Acid	Metabolite	CHEBI:35366	ChEBI	
TRPC3/6/7	Complex	R-HSA-426176	Reactome	
Ca2+	Metabolite	CHEBI:29108	ChEBI	
Diacylglycerol
lipase	Complex	R-HSA-426024	Reactome	
ADP	Metabolite	CHEBI:456216	ChEBI	
ATP	Metabolite	CHEBI:30616	ChEBI	
IP3R
tetramer:I(1,4,5)P3:4xCa2+	Complex	R-HSA-139839	Reactome	
Protein kinase C,
novel isoforms:DAG	Complex	R-HSA-426071	Reactome	
ITPR3 	Protein	Q14573	Uniprot-TrEMBL	
H2O	Metabolite	CHEBI:15377	ChEBI	
DGKG 	Protein	P49619	Uniprot-TrEMBL	
DGKI 	Protein	O75912	Uniprot-TrEMBL	
DGKE 	Protein	P52429	Uniprot-TrEMBL	
AA	Metabolite	CHEBI:15843	ChEBI	
TRPC6 	Protein	Q9Y210	Uniprot-TrEMBL	
PRKCD 	Protein	Q05655	Uniprot-TrEMBL	
PRKCH 	Protein	P24723	Uniprot-TrEMBL	
DAG 	Metabolite	CHEBI:17815	ChEBI	
H2O	Metabolite	CHEBI:15377	ChEBI	
Glycerol	Metabolite	CHEBI:17754	ChEBI	
DGKK 	Protein	Q5KSL6	Uniprot-TrEMBL	
ITPR3 	Protein	Q14573	Uniprot-TrEMBL	
PRKCQ 	Protein	Q04759	Uniprot-TrEMBL	
PRKCE 	Protein	Q02156	Uniprot-TrEMBL	
DGKB 	Protein	Q9Y6T7	Uniprot-TrEMBL	
TRPC3(1-848) 	Protein	Q13507	Uniprot-TrEMBL	
Protein kinase C,
novel isoforms	Complex	R-HSA-425850	Reactome	These isoforms of PKC bind DAG and phosphatidylserine (PS), but unlike the conventional forms, do not require calcium for PS binding.
Ca2+	Metabolite	CHEBI:29108	ChEBI	
RASGRP1 	Protein	O95267	Uniprot-TrEMBL	
TRPC7 	Protein	Q9HCX4	Uniprot-TrEMBL	
RASGRP1 	Protein	O95267	Uniprot-TrEMBL	
DAGLA 	Protein	Q9Y4D2	Uniprot-TrEMBL	
DGKH 	Protein	Q86XP1	Uniprot-TrEMBL	
PRKCE 	Protein	Q02156	Uniprot-TrEMBL	
I(1,4,5)P3 	Metabolite	CHEBI:16595	ChEBI	
ABHD12 	Protein	Q8N2K0	Uniprot-TrEMBL	
TRPC6 	Protein	Q9Y210	Uniprot-TrEMBL	
ABHD6,12	Complex	R-HSA-5694453	Reactome	
DAG-activated
TRPC3/6/7	Complex	R-HSA-426179	Reactome	
ABHD6 	Protein	Q9BV23	Uniprot-TrEMBL	
CalDAG-GEFs	Complex	R-HSA-392488	Reactome	Rap1 can be activated by certain GEFs that respond to calcium and diacylglycerol (CalDAG-GEFs).
Ca2+ 	Metabolite	CHEBI:29108	ChEBI	
I(1,4,5)P3	Metabolite	CHEBI:16595	ChEBI	
TRPC3(1-848) 	Protein	Q13507	Uniprot-TrEMBL	
DAG 	Metabolite	CHEBI:17815	ChEBI	
2AG	Metabolite	CHEBI:52392	ChEBI	
RASGRP2 	Protein	Q7LDG7	Uniprot-TrEMBL	
ITPR2 	Protein	Q14571	Uniprot-TrEMBL	
PRKCD 	Protein	Q05655	Uniprot-TrEMBL	
CalDAG-GEFs:DAG:Ca2+	Complex	R-HSA-392841	Reactome	
1,2-daG3P	Metabolite	CHEBI:29089	ChEBI	
H+	Metabolite	CHEBI:15378	ChEBI	
ITPR2 	Protein	Q14571	Uniprot-TrEMBL	
TRPC7 	Protein	Q9HCX4	Uniprot-TrEMBL	
IP3R tetramer	Complex	R-HSA-418292	Reactome	
