Label	Type	ID	Database	Comment
ADP	Metabolite	CHEBI:16761	ChEBI	
ATP	Metabolite	CHEBI:15422	ChEBI	
NADPH	Metabolite	CHEBI:16474	ChEBI	
homoserine	Metabolite	CHEBI:15699	ChEBI	
NAD(P)+	Metabolite	REACT_20200	Reactome	
L-Asp	Metabolite	CHEBI:17053	ChEBI	
homoserine
dehydrogenase	Protein	1121893	Reactome	Facilitates the conversion of L-aspartate-semialdehyde to homoserine.
NADP+	Metabolite	CHEBI:18009	ChEBI	
aspartate-semialdehyde
dehydrogenase	Protein	1122213	Reactome	Facilitates the conversion of L-aspartyl-4-phosphate to L-aspartate-semialdehyde.
aspartate kinase	Protein	1121818	Reactome	Facilitates the conversion of L-aspartate to L-aspartyl-4-phosphate.
H+	Metabolite	CHEBI:15378	ChEBI	
Pi	Metabolite	CHEBI:18367	ChEBI	
L-aspartate-semialdehyde	Metabolite	CHEBI:18051	ChEBI	
L-aspartyl-4-phosphate	Metabolite	CHEBI:15836	ChEBI	
NAD(P)H	Metabolite	REACT_20158	Reactome	
H+	Metabolite	CHEBI:15378	ChEBI	
