Label	Type	ID	Database	Comment
RAD1 	Protein	O60671	Uniprot-TrEMBL	
H2O	Metabolite	CHEBI:15377	ChEBI	
K6PolyUb,p-T714,T734-BARD1 	Protein	Q99728	Uniprot-TrEMBL	
DNA
DSB:p-MRN:p-S1981,Ac-K3016-ATM:KAT5	Complex	R-HSA-5682162	Reactome	
HIST1H2BA 	Protein	Q96A08	Uniprot-TrEMBL	
EXO1 	Protein	Q9UQ84	Uniprot-TrEMBL	
RAD51C 	Protein	O43502	Uniprot-TrEMBL	
p-S1981,Ac-K3016-ATM 	Protein	Q13315	Uniprot-TrEMBL	
RAD50 	Protein	Q92878	Uniprot-TrEMBL	
RAD9:HUS1:RAD1	Complex	R-HSA-176312	Reactome	The Rad9-Hus1-Rad1 (9-1-1) complex is a ring-shaped heterotrimeric complex. Under genotoxic stress conditions, it can be loaded onto DNA at sites of damage or stalled forks by the Rad17 complex.
HERC2-SUMO1 	Protein	P63165	Uniprot-TrEMBL	
UBB(77-152) 	Protein	P0CG47	Uniprot-TrEMBL	
WRN 	Protein	Q14191	Uniprot-TrEMBL	
p-S327,T847,T859-RBBP8 	Protein	Q99708	Uniprot-TrEMBL	
RPA3 	Protein	P35244	Uniprot-TrEMBL	
UBC(305-380) 	Protein	P0CG48	Uniprot-TrEMBL	
UBB(153-228) 	Protein	P0CG47	Uniprot-TrEMBL	
HERC2-SUMO1 	Protein	P63165	Uniprot-TrEMBL	
XRCC2 	Protein	O43543	Uniprot-TrEMBL	
ERCC1 	Protein	P07992	Uniprot-TrEMBL	
K6PolyUb,p-T714,T734-BARD1 	Protein	Q99728	Uniprot-TrEMBL	
RAD50 	Protein	Q92878	Uniprot-TrEMBL	
p-S1981,Ac-K3016-ATM 	Protein	Q13315	Uniprot-TrEMBL	
K48PolyUb,SUMO2-K1840,p-5T-MDC1 	Protein	Q14676	Uniprot-TrEMBL	
dsDNA	Unknown	R-HSA-5649637	Reactome	
RFC2 	Protein	P35250	Uniprot-TrEMBL	
HUS1 	Protein	O60921	Uniprot-TrEMBL	
TOP3A 	Protein	Q13472	Uniprot-TrEMBL	
Holliday structure 	Unknown	R-ALL-75220	Reactome	
RFC5 	Protein	P40937	Uniprot-TrEMBL	
KAT5 	Protein	Q92993	Uniprot-TrEMBL	
ATR 	Protein	Q13535	Uniprot-TrEMBL	
p-T714,T734-BARD1 	Protein	Q99728	Uniprot-TrEMBL	
BLM 	Protein	P54132	Uniprot-TrEMBL	
3' overhanging DNA at resected DSB ends 	Unknown	R-ALL-75156	Reactome	
Cleaved
Holliday
Junction:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:EXO1,DNA2:BLM,WRN:p-BRCA1-C complex:PALB2:p-T3387-BRCA2:p-T309-RAD51:RAD51AP1:CX3 complex	Complex	R-HSA-5686493	Reactome	
