Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,database_cross_reference,definition,has_alternative_id,has_exact_synonym,has_obo_format_version,has_obo_namespace,has_related_synonym,http://data.bioontology.org/metadata/obo/part_of,http://data.bioontology.org/metadata/treeView,http://purl.obolibrary.org/obo/IAO_0000231,http://purl.obolibrary.org/obo/IAO_0100001,http://www.geneontology.org/formats/oboInOwl#auto-generated-by,http://www.geneontology.org/formats/oboInOwl#created_by,http://www.geneontology.org/formats/oboInOwl#creation_date,http://www.geneontology.org/formats/oboInOwl#date,http://www.geneontology.org/formats/oboInOwl#default-namespace,http://www.geneontology.org/formats/oboInOwl#id,http://www.geneontology.org/formats/oboInOwl#saved-by,http://www.w3.org/2000/01/rdf-schema#comment,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2002/07/owl#deprecated,http://www.w3.org/2004/02/skos/core#notation,part_of
http://purl.obolibrary.org/obo/PW_0000592,iron storage pathway,,"The main storage system for iron is represented by ferritin. The iron entering the cell is in its ferrous Fe(II) form. It is oxidized to the stored ferric Fe(III) by the oxidase activity of ferritin heavy chain. Neuromelanin pigment, abundant in the dopaminergic neurons of the substantia nigra, is known as a metal chelator and is the storage form of iron in these cells.",false,,,http://purl.obolibrary.org/obo/PW_0000590,,"The main storage system for iron is represented by ferritin. The iron entering the cell is in its ferrous Fe(II) form. It is oxidized to the stored ferric Fe(III) by the oxidase activity of ferritin heavy chain. Neuromelanin pigment, abundant in the dopaminergic neurons of the substantia nigra, is known as a metal chelator and is the storage form of iron in these cells.",,,,pathway,,http://purl.obolibrary.org/obo/PW_0000590,http://purl.obolibrary.org/obo/PW_0000590,,,,,,,,PW:0000592,,,iron storage pathway,,PW:0000592,
http://purl.obolibrary.org/obo/PW_0002130,candesartan pharmacodynamics pathway,SMP:00158,The pathway of candesartan-target interaction and of the biochemical or physiological responses to drug. The drug is an antagonist of the angiotensin II receptor type 1. Genetic variations can cause differences in the response of the organism to the drug.,false,,,http://purl.obolibrary.org/obo/PW_0002128,,The pathway of candesartan-target interaction and of the biochemical or physiological responses to drug. The drug is an antagonist of the angiotensin II receptor type 1. Genetic variations can cause differences in the response of the organism to the drug.,,,,pathway,SMP:00158,,http://purl.obolibrary.org/obo/PW_0002128,,,,VPetri,2015-10-29T13:43:43Z,,,PW:0002130,,,candesartan pharmacodynamics pathway,,PW:0002130,
http://purl.obolibrary.org/obo/GO_0042423,GO_0042423,,,true,,,,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000227,http://purl.obolibrary.org/obo/PW_0001235,,,,,,,,,,true,GO:0042423,
http://purl.obolibrary.org/obo/PW_0002315,indometacin pharmacodynamics pathway,SMP:00104|indomethacin pharmacodynamics pathway,"The pathway of indometacin-target interaction and of the biochemical or physiological responses to drug. Indometacin is an inhibitor of cyclooxygenase enzymes and commonly used to reduce fever, pain and swelling in a wide range of conditions. Genetic variations can cause differences in the response of the organism to the drug.",false,,,http://purl.obolibrary.org/obo/PW_0002313,,"The pathway of indometacin-target interaction and of the biochemical or physiological responses to drug. Indometacin is an inhibitor of cyclooxygenase enzymes and commonly used to reduce fever, pain and swelling in a wide range of conditions. Genetic variations can cause differences in the response of the organism to the drug.",,,,pathway,SMP:00104|indomethacin pharmacodynamics pathway,,http://purl.obolibrary.org/obo/PW_0002313,,,,VPetri,2015-12-04T08:51:14Z,,,PW:0002315,,,indometacin pharmacodynamics pathway,,PW:0002315,
http://purl.obolibrary.org/obo/PW_0000209,Jak-Stat signaling pathway,KEGG:04630,"The Jak-Stat pathway is a main intracellular cascade initiated primarily in response to cytokine and also other ligand signaling. Four Janus kinases (Jak) and seven signal transducers and activators of transcription (Stat) families of proteins mediate the action of almost 40 cytokine receptors, including the receptor for leptin. Combinations between four Jak(s) and seven Stat(s) shape the outcome of ligand triggered signaling through the various receptors.",false,,,http://purl.obolibrary.org/obo/PW_0000818|http://purl.obolibrary.org/obo/PW_0001195,,"The Jak-Stat pathway is a main intracellular cascade initiated primarily in response to cytokine and also other ligand signaling. Four Janus kinases (Jak) and seven signal transducers and activators of transcription (Stat) families of proteins mediate the action of almost 40 cytokine receptors, including the receptor for leptin. Combinations between four Jak(s) and seven Stat(s) shape the outcome of ligand triggered signaling through the various receptors.",,,,pathway,KEGG:04630,,http://purl.obolibrary.org/obo/PW_0000818|http://purl.obolibrary.org/obo/PW_0001195,,,,,,,,PW:0000209,,,Jak-Stat signaling pathway,,PW:0000209,
http://purl.obolibrary.org/obo/PW_0001288,phenylalanine degradation pathway,,"Those metabolic reactions involved in the degradation and/or conversion of phenylalanine. Phenylalanine is the precursor of tyrosine, in turn a precursor for a number of neurotransmitters and hormones. In plants, phenylalanine serve as a precursor for a large number of functional secondary metabolites.",false,,,http://purl.obolibrary.org/obo/PW_0000053|http://purl.obolibrary.org/obo/PW_0001258,,"Those metabolic reactions involved in the degradation and/or conversion of phenylalanine. Phenylalanine is the precursor of tyrosine, in turn a precursor for a number of neurotransmitters and hormones. In plants, phenylalanine serve as a precursor for a large number of functional secondary metabolites.",,,,pathway,,,http://purl.obolibrary.org/obo/PW_0000053|http://purl.obolibrary.org/obo/PW_0001258,,,,VPetri,2013-05-13T12:42:59Z,,,PW:0001288,,,phenylalanine degradation pathway,,PW:0001288,
http://purl.obolibrary.org/obo/PW_0000974,chemokine (C-X-C motif) ligand 3 signaling pathway,Cxcl3 signaling pathway|Gro gamma signaling pathway,Chemokine (C-X-C) ligand 3 belongs to the growth-related oncogene (GRO) subgroup whose signaling engages receptor 2 to promote chemotaxis of neutrophils.,false,,,http://purl.obolibrary.org/obo/PW_0000971,,Chemokine (C-X-C) ligand 3 belongs to the growth-related oncogene (GRO) subgroup whose signaling engages receptor 2 to promote chemotaxis of neutrophils.,,Cxcl3 signaling pathway,,pathway,Gro gamma signaling pathway,,http://purl.obolibrary.org/obo/PW_0000971,,,,VPetri,2012-05-22T03:29:34Z,,,PW:0000974,,,chemokine (C-X-C motif) ligand 3 signaling pathway,,PW:0000974,
http://purl.obolibrary.org/obo/PW_0002047,esmolol pharmacokinetics pathway,,"The pathway of processing - absorption, distribution, metabolism or elimination - of esmolol. Genetic variations can result in changes in the availability of the drug.",false,,,http://purl.obolibrary.org/obo/PW_0002046,,"The pathway of processing - absorption, distribution, metabolism or elimination - of esmolol. Genetic variations can result in changes in the availability of the drug.",,,,pathway,,,http://purl.obolibrary.org/obo/PW_0002046,,,,VPetri,2015-10-09T13:03:48Z,,,PW:0002047,,,esmolol pharmacokinetics pathway,,PW:0002047,
http://purl.obolibrary.org/obo/KEGG_00450,KEGG_00450,,,true,,,,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000227,http://purl.obolibrary.org/obo/PW_0000133,,,,,,,,,,true,KEGG:00450,
http://purl.obolibrary.org/obo/KEGG_04070,KEGG_04070,,,true,,,,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000227,http://purl.obolibrary.org/obo/PW_0000595,,,,,,,,,,true,KEGG:04070,
