Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI	PubChem	ChemSpider	HMDB	KEGG	LipidMaps
ADP	Metabolite	hmdb:HMDB0001341	""						chebi:16761	inchikey:XTWYTFMLZFPYCI-KQYNXXCUSA-N	pubchem.compound:6022	chemspider:5800	hmdb:HMDB0001341	kegg.compound:C00008	
UTP	Metabolite	chebi:17625	""					wikidata:Q28529690	chebi:17625	inchikey:AHCYMLUZIRLXAA-SHYZEUOFSA-N	pubchem.compound:65070	chemspider:58580	hmdb:HMDB0001191	kegg.compound:C00460	
dGTP	Metabolite	hmdb:HMDB0001440	""						chebi:16497	inchikey:HAAZLUGHYHWQIW-KVQBGUIXSA-N	pubchem.compound:65103	chemspider:58613	hmdb:HMDB0001440	kegg.compound:C00286	
CTP	Metabolite	hmdb:HMDB0000998	""						chebi:16311	inchikey:RGWHQCVHVJXOKC-SHYZEUOFSA-N	pubchem.compound:65091	chemspider:58601	hmdb:HMDB0000998	kegg.compound:C00458	
ATP	Metabolite	hmdb:HMDB0001532	""						chebi:16284	inchikey:SUYVUBYJARFZHO-RRKCRQDMSA-N	pubchem.compound:15993	chemspider:15194	hmdb:HMDB0001532	kegg.compound:C00131	
dATP	Metabolite	hmdb:HMDB0001532	""						chebi:16284	inchikey:SUYVUBYJARFZHO-RRKCRQDMSA-N	pubchem.compound:15993	chemspider:15194	hmdb:HMDB0001532	kegg.compound:C00131	
GTP	Metabolite	hmdb:HMDB0001440	""						chebi:16497	inchikey:HAAZLUGHYHWQIW-KVQBGUIXSA-N	pubchem.compound:65103	chemspider:58613	hmdb:HMDB0001440	kegg.compound:C00286	
dCTP	Metabolite	hmdb:HMDB0000998	""						chebi:16311	inchikey:RGWHQCVHVJXOKC-SHYZEUOFSA-N	pubchem.compound:65091	chemspider:58601	hmdb:HMDB0000998	kegg.compound:C00458	
dUTP	Metabolite	chebi:17625	""					wikidata:Q28529690	chebi:17625	inchikey:AHCYMLUZIRLXAA-SHYZEUOFSA-N	pubchem.compound:65070	chemspider:58580	hmdb:HMDB0001191	kegg.compound:C00460	
Orc5l	GeneProduct	ncbigene:26429	""	ensembl:ENSMUSG00000029012	ncbigene:26429		uniprot:Q9WUV0;uniprot:D3Z0X3								
