ID	Database
10.3390/cells11233815	DOI
https://www.genome.jp/pathway/hsa04150	URL
10.1016/j.phrs.2022.106340	DOI
29233870	Pubmed
10.3389/fendo.2019.00249	DOI
10.4137/IJTR.S8158	DOI
10.3389/fnmol.2022.922840	Pubmed
10.1016/B978-0-12-801238-3.64985-1	DOI
10.1161/hc3801.095585	DOI
20356743	Pubmed
10.1021/BI992997S	DOI
10.1515/jpem-2012-0293	DOI
https://magazine.medlineplus.gov/pdf/Common-antidepressants.PDF_.Final_.09012023.pdf	URL
10.1172/JCI121277	DOI
10.1038/s41392-022-01081-0	DOI
10.1016/j.pneurobio.2020.101906	DOI
10.1371/journal.pone.0085164	DOI
10.1093/scan/nsp049	DOI
10.1038/s41398-020-0755-4	DOI
10.1016/j.neubiorev.2017.01.013	DOI
10.1016/j.neures.2008.11.007	DOI
10.1089/gtmb.2014.0066	DOI
10.1016/j.biopsych.2013.03.027	DOI
10.1038/tp.2012.7	DOI
25777072	Pubmed
28982350	Pubmed
26227907	Pubmed
27610078	Pubmed
24889756	Pubmed
20691428	Pubmed
10.1186/1744-9081-4-48	DOI
10.1016/S1075-6280(01)27007-4	DOI
https://hmdb.ca/proteins/HMDBP00295	URL
10.1073/pnas.1002404107	DOI
10.3390/ijms21155310	DOI
10.1186/s40246-021-00319-2	DOI
10.1186/2040-2392-3-10	DOI
10.1016/j.jphs.2022.08.00	DOI
10.3390/antiox12051037	DOI
10.1080/23312025.2019.1606555	DOI
10.3390/nu8020068	DOI
https://medlineplus.gov/genetics/gene/hcfc1/#synonyms	URL
10.1590/2326-4594-jiems-2019-0007	DOI
10.1016/j.bbadis.2016.10.016	DOI
10.1186/s12993-015-0080-x	DOI
10.17116/jnevro2021121041151	DOI
10.1016/j.biopha.2020.110496	DOI
10.1111/j.1600-079X.2011.00902.x	DOI
10.1084/jem.20181965	DOI
10.1002/iub.114	DOI
10.1007/s00702-009-0281-2	DOI
10.1161/01.ATV.0000243924.00970.cb	DOI
10.1186/2040-2392-2-8	DOI
10.1176/appi.ajp.161.4.662	DOI
10.1371/journal.pone.0053727	DOI
10.1038/sj.mp.4002016	DOI
10.1093/jncics/pkad039	DOI
10.1002/ajmg.b.30872	DOI
10.1038/sj.mp.4002090	DOI
https://imfar.confex.com/imfar/2008/webprogram/Paper2290.html	URL
20083114	Pubmed
10.3389/fneur.2021.683275	DOI
https://www.potomacpsychiatry.com/blog/adra2a-gene-test-adhd-genetic-testing	URL
10.1093/nar/gkab1016	DOI
10.3389/fmicb.2019.02305	DOI
10.3389/fnmol.2022.919773	DOI
10.1016/j.molmet.2018.01.007	DOI
10.3390/ijms19082439	DOI
10.4088/JCP.14l09346	DOI
10.3109/08039488.2015.1089321	DOI
10.1111/j.1601-183X.2007.00384.x	DOI
10.1080/1028415X.2019.1570442	DOI
10.15586/codonpublications.parkinsonsdisease.2018.ch	DOI
10.1007/7854_2011_187	DOI
10.1007/s00213-009-1628-y	DOI
10.1097/YPG.0000000000000010	DOI
10.3390/cells12071087	DOI
10.3390/ijms23031910	DOI
10.3390/nu13093207	DOI
10.1038/s41430-022-01110-9	DOI
10.1016/S0003-9861(03)00295-9	DOI
10.1093/ijnp/pyw013	DOI
10.1016/j.gene.2017.05.003	DOI
10.1016/j.psychres.2016.10.044	DOI
NA	Pubmed
10.3389/fpsyt.2021.788779	DOI
10.1038/s41598-017-06782-z	DOI
10.1038/s41430-020-0657-9	DOI
10.1016/j.pnpbp.2018.01.016	DOI
10.3390/genes12091407	DOI
10.3390/cells10051081	DOI
10.1039/C4RA09872B	DOI
10.1016/j.cell.2010.05.024	DOI
https://www.pharmgkb.org/pathway/PA166181140	URL
10.1016/j.pnpbp.2018.01.013	DOI
10.1097/MD.0000000000027858	DOI
10.1111/pcn.12606	DOI
10.1515/cclm-2012-0673	DOI
10.3389/fncel.2011.00011	DOI
10.20517/jtgg.2020.34	DOI
10.1007/s13311-021-01043-4	DOI
10.1124/jpet.105.085282	DOI
10.1016/j.nbd.2020.105061	Pubmed
10.3389/fphar.2018.00279	DOI
https://tmedweb.tulane.edu/pharmwiki/doku.php/amphetamines	URL
37439367	Pubmed
10.3390/ijms23073861	DOI
10.1016/j.euroneuro.2012.07.003	DOI
10.1136/jmedgenet-2011-100386	DOI
22530599	Pubmed
10.1038/s41531-021-00161-2	DOI
10.3390/genes12050782	DOI
10.3390/ijms21228870	DOI
10.1371/journal.pone.0051330	DOI
11873862	Pubmed
https://psychscenehub.com/psychinsights/guanfacine-and-clonidine-for-adhd/	URL
https://www.pharmgkb.org/pathway/PA166181002	URL
10.1186/1471-2105-9-S12-S23	DOI
10.1038/s12276-017-0018-5	DOI
http://autism.mindspec.org/GeneDetail/NLGN4X	URL
10.1038/nature12630	DOI
10.1038/ng1136	DOI
http://autism.mindspec.org/GeneDetail/NLGN3	URL
http://autism.mindspec.org/GeneDetail/SHANK2	URL
10.1111/cge.13243	DOI
10.1038/nn.4352	DOI
https://en.wikipedia.org/wiki/DLG4	URL
10.3389/fpsyt.2022.904091	DOI
https://www.genome.jp/pathway/map04921+K04229	URL
10.3389/fphar.2019.00452	DOI
21704641	Pubmed
10.3389/fnmol.2022.922840	DOI
23108542	Pubmed
http://www.genecards.org/cgi-bin/carddisp.pl?gene=CNR2&keywords=cnr2	URL
16672367	Pubmed
27106177	Pubmed
10.3389/fpsyt.2021.780921	DOI
10.1038/mp.2017.255	DOI
10.3389/fphar.2021.740996	DOI
https://my.clevelandclinic.org/health/treatments/24797-snri	URL
10.1016/j.tips.2017.04.001	DOI
10.1016/j.psychres.2012.08.016	DOI
10.1007/s12519-023-00702-0	DOI
10.1038/s41398-019-0588-1	DOI
10.1101/cshperspect.a036780	DOI
http://autism.mindspec.org/GeneDetail/PTEN	URL
9588823	Pubmed
10.1159/000142363	DOI
10.3389/fgene.2018.00635	DOI
10.31887/DCNS.2012.14.3/jneul	DOI
10.3389/fpls.2021.668819	DOI
10.1002/jimd.12060	DOI
10.3390/children10101639	DOI
10.1038/mp.2013.140	DOI
10.1177/1362361319868633	DOI
10.1038/s41598-021-03885-6	DOI
33724837	Pubmed
30068361	Pubmed
11215515	Pubmed
21312325	Pubmed
19700356	Pubmed
30619462	Pubmed
27416781	Pubmed
21628530	Pubmed
19166931	Pubmed
28561066	Pubmed
20505359	Pubmed
10.1016/B978-0-12-405546-9.00005-4	DOI
