Label	Type	ID	Database	Comment
KCNJ12 	Protein	Q14500	Uniprot-TrEMBL	
KCNK2 	Protein	O95069	Uniprot-TrEMBL	
GNG8 	Protein	Q9UK08	Uniprot-TrEMBL	
GNGT2 	Protein	O14610	Uniprot-TrEMBL	
Kv6 subunits of voltage gated potassium channels 	Unknown	R-HSA-1296106	Reactome	
KCNK13 	Protein	Q9HB14	Uniprot-TrEMBL	
GNG12 	Protein	Q9UBI6	Uniprot-TrEMBL	
GNG4 	Protein	P50150	Uniprot-TrEMBL	
GABBR2 	Protein	O75899	Uniprot-TrEMBL	
GNG8 	Protein	Q9UK08	Uniprot-TrEMBL	
K+	Metabolite	CHEBI:29103	ChEBI	
GABBR2 	Protein	O75899	Uniprot-TrEMBL	
KCNJ16 	Protein	Q9NPI9	Uniprot-TrEMBL	
GNGT1 	Protein	P63211	Uniprot-TrEMBL	
GNG3 	Protein	P63215	Uniprot-TrEMBL	
KCNK6 	Protein	Q9Y257	Uniprot-TrEMBL	
K+	Metabolite	CHEBI:29103	ChEBI	
KCND1,2,3 	Unknown	R-HSA-1296101	Reactome	
KCNJ3 	Protein	P48549	Uniprot-TrEMBL	
KCNK7 	Protein	Q9Y2U2	Uniprot-TrEMBL	
K+	Metabolite	CHEBI:29103	ChEBI	
KCNJ9 	Protein	Q92806	Uniprot-TrEMBL	
K+	Metabolite	CHEBI:29103	ChEBI	
GNB3 	Protein	P16520	Uniprot-TrEMBL	
KCNMB3 	Protein	Q9NPA1	Uniprot-TrEMBL	
KCNN4	Protein	O15554	Uniprot-TrEMBL	
KCNJ15 	Protein	Q99712	Uniprot-TrEMBL	
KCNJ tetramer	Complex	R-HSA-1299200	Reactome	Kir 2  channels form heterotetramers of any two of the four subunits.
KCNK3 	Protein	O14649	Uniprot-TrEMBL	
KCNAB1 	Protein	Q14722	Uniprot-TrEMBL	
GNG10 	Protein	P50151	Uniprot-TrEMBL	
KCNJ12 	Protein	Q14500	Uniprot-TrEMBL	
KCNJ9 	Protein	Q92806	Uniprot-TrEMBL	
HCN4 	Protein	Q9Y3Q4	Uniprot-TrEMBL	
KCNK4 	Protein	Q9NYG8	Uniprot-TrEMBL	
ATP sensitive K+
channels-inwardly
rectifying (SUR2)	Complex	R-HSA-1369001	Reactome	
GNG7 	Protein	O60262	Uniprot-TrEMBL	
GNG4 	Protein	P50150	Uniprot-TrEMBL	
HCN channel bound to
